94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,350.0,481.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,496.0,482.0,520.0,502.0,367.0,333.0,176.0,484.0,195.0,196.0,328.0,327.0,447.0,153.0,474.0,416.0,401.0,402.0,463.0,123.0,486.0,363.0,512.0,503.0,296.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,371.0,370.0,294.0,205.0,206.0,504.0,343.0,126.0,464.0,162.0,2017-05-12 00:09:12,1461.0968911900002
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,136.0,444.0,352.0,255.0,254.0,484.0,176.0,333.0,367.0,502.0,520.0,482.0,496.0,511.0,129.0,160.0,529.0,403.0,486.0,194.0,475.0,256.0,501.0,491.0,503.0,296.0,506.0,186.0,185.0,227.0,485.0,489.0,311.0,119.0,118.0,137.0,466.0,336.0,318.0,317.0,487.0,302.0,507.0,424.0,504.0,343.0,126.0,464.0,162.0,2017-05-12 00:24:15,1323.26190477
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,136.0,444.0,481.0,457.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,497.0,263.0,505.0,532.0,533.0,387.0,475.0,256.0,501.0,382.0,512.0,503.0,296.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,268.0,388.0,389.0,197.0,340.0,232.0,233.0,378.0,464.0,162.0,2017-05-12 00:39:16,1319.3272884199998
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,136.0,444.0,481.0,457.0,524.0,100.0,99.0,456.0,98.0,455.0,496.0,482.0,502.0,367.0,333.0,176.0,484.0,117.0,460.0,248.0,249.0,262.0,434.0,154.0,470.0,235.0,474.0,416.0,401.0,402.0,463.0,123.0,486.0,363.0,512.0,503.0,296.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,268.0,388.0,389.0,197.0,340.0,232.0,233.0,378.0,464.0,162.0,2017-05-12 01:09:18,1574.166019
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,136.0,444.0,481.0,457.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,497.0,263.0,505.0,407.0,532.0,533.0,387.0,475.0,256.0,501.0,382.0,512.0,406.0,500.0,304.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,371.0,370.0,294.0,205.0,206.0,504.0,343.0,126.0,464.0,162.0,2017-05-12 01:24:19,1300.00621762
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,136.0,444.0,481.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,497.0,263.0,505.0,532.0,533.0,387.0,475.0,256.0,501.0,382.0,512.0,406.0,500.0,304.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,371.0,370.0,294.0,205.0,206.0,504.0,343.0,126.0,464.0,162.0,2017-05-12 01:39:20,1321.8880829
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,350.0,481.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,497.0,535.0,212.0,488.0,505.0,532.0,533.0,387.0,475.0,256.0,501.0,382.0,512.0,503.0,296.0,506.0,186.0,185.0,227.0,485.0,489.0,338.0,288.0,204.0,472.0,148.0,498.0,257.0,494.0,371.0,370.0,294.0,205.0,206.0,504.0,343.0,126.0,464.0,162.0,2017-05-12 01:54:21,1281.33661486
94,209.0,210.0,522.0,344.0,222.0,223.0,329.0,305.0,517.0,350.0,481.0,457.0,524.0,100.0,99.0,456.0,98.0,455.0,431.0,497.0,535.0,212.0,488.0,505.0,407.0,532.0,533.0,387.0,475.0,256.0,501.0,382.0,512.0,503.0,296.0,506.0,458.0,295.0,459.0,469.0,140.0,152.0,220.0,494.0,268.0,388.0,389.0,197.0,340.0,232.0,233.0,378.0,464.0,162.0,2017-05-12 02:09:23,1325.6333333300001
